DATE,revenue,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,search_S,competitor_sales_B,facebook_S,events,newsletter
02/05/16,898873.3333,0,0,37555.73333,0,11055.04348,3800,2861890,0,na,5408
09/05/16,889373.3333,0,149873.6,0,0,13268.14271,4280,2941465,0,na,1900
16/05/16,1915375,0,0,0,50755966.77,0,0,3039148,11021.79232,na,19401.65385
23/05/16,1006845,0,373328,0,0,0,0,3292482,0,na,19401.65385
30/05/16,869198.3333,0,0,0,0,13697.36256,4040,2895248,0,na,9003
06/06/16,727250,0,0,0,0,9330.996159,3600,2427455,0,na,4305
13/06/16,753730,0,0,0,0,14439.94311,4560,2516566,0,na,7217
20/06/16,999196.6667,61417.16,371724.8,0,33454960.66,13426.18537,4880,3012353,7659.467544,na,1983
27/06/16,845843.3333,0,0,0,0,11025.09151,4520,2826660,0,na,3437
04/07/16,1126016.667,30363.04,0,15505.2,0,13000.97539,5240,3489775,0,na,4147
11/07/16,1140978.333,0,0,0,0,17558.74219,5720,3807127,0,na,8479
18/07/16,1242656.667,5701.24,958929.6,14342,33729872.87,12646.61028,4280,3824504,10658.44487,na,6348
25/07/16,1293483.333,0,0,0,0,18869.83387,5840,4307032,0,na,13762
01/08/16,1484843.333,84540.76,492651.2,0,53605561.39,20555.1551,6840,4396674,15306.09425,na,11841
08/08/16,1485698.333,0,0,2423.333333,0,21913.05633,7600,4941143,0,na,17162
15/08/16,1556608.333,85892.04,0,0,15373941.62,0,0,4762083,3035.633075,na,19401.65385
22/08/16,1391206.667,0,0,41939.2,11664166.53,0,0,4409483,1925.518155,na,19401.65385
29/08/16,2018783.333,71973.48,478937.6,0,0,27453.53936,9240,6065021,0,na,2453
05/09/16,2170721.667,63785.52,263430.4,9244.133333,3879870.365,21811.12699,9520,6512777,188.3907329,na,3186
12/09/16,2247670,0,480347.2,0,0,30396.49893,10000,7311071,0,na,11247
19/09/16,2192026.667,0,98083.2,76609.86667,54564098.36,31697.68061,10200,6652807,13612.8543,na,15280
26/09/16,1895213.333,0,487126.4,0,0,22420.11815,8920,6168548,0,na,2886
03/10/16,2232910,433609.92,365609.6,29439.46667,42679536.94,28940.12738,10120,6395275,9441.503078,na,14067
10/10/16,2406035,0,0,32171.33333,46050657.17,37640.48678,11960,7711902,10842.50009,na,24098
17/10/16,2252445,244168.04,89387.2,0,61417892.42,36705.0621,11160,6734048,15973.25188,na,26550
24/10/16,2663125,0,476737.6,28082.93333,63942540.26,31599.39534,12240,8356638,17597.76881,na,17728
31/10/16,2974771.667,281984.36,0,0,71765591.94,34659.92398,14680,8937615,19222.28574,na,13989
07/11/16,2826128.333,0,427806.4,34631.46667,64033311.37,42223.9927,12480,8832206,20864.83396,na,29426
14/11/16,3182900,156973.16,0,0,52199572.16,0,0,9584624,15996.04615,na,19401.65385
21/11/16,2964696.667,20871.16,435054.4,21879.2,80485549.89,0,0,9029457,20046.28155,na,19401.65385
28/11/16,2848525,0,0,12428.8,53736753.5,73955.95632,28600,9334174,14195.63911,na,27941
05/12/16,2740160,42763.2,717241.6,0,21469926.03,65123.98793,25200,8234498,4969.403594,na,51273
12/12/16,2380508.333,0,0,0,29472934.6,52768.86061,22040,7904539,9091.08372,na,19606
19/12/16,2230915,0,1004760,0,14122124.69,47686.78427,20680,7127441,3035.633075,na,4453
26/12/16,3659425,323163.04,0,0,68537049.5,77849.586,23200,7730351,21679.64402,na,559
02/01/17,2827008.333,123163.04,1361088,83994.4,58171140.21,58179.84153,22120,7498330,12843.63277,na,46507
09/01/17,2042143.333,0,0,0,58671678.03,63213.96521,21240,6815506,16418.93087,na,21771
16/01/17,2113358.333,17739.88,0,4606.933333,56039474.62,61912.6341,20120,6701008,17963.15754,na,35351
23/01/17,2179918.333,0,0,32342.93333,86758062.44,61384.37354,21000,6998027,19507.38421,na,13998
30/01/17,2370613.333,120734.88,0,0,60054669.93,68123.11287,21680,7097324,12841.93171,na,27415
06/02/17,1814556.667,0,0,0,0,44602.76789,16760,6048680,0,na,4085
13/02/17,1951668.333,0,383171.2,0,88205178.52,0,0,6290401,24781.36566,na,19401.65385
20/02/17,1918238.333,0,0,32073.06667,0,0,0,6137639,0,na,19401.65385
27/02/17,1472390,0,0,0,142691898.2,37539.20492,13520,4802056,41701.8577,na,26556
06/03/17,1477865,0,0,42083.33333,0,46462.99321,14000,4688746,0,na,12272
13/03/17,1300166.667,31082.64,0,0,0,41198.0192,12640,4119318,0,na,25992
20/03/17,1160205,0,0,59561.46667,0,29804.31852,11320,3618373,0,na,22696
27/03/17,1356871.667,0,73428.8,0,31147280.42,45902.22993,14400,4476843,7847.605316,na,26404
03/04/17,1355833.333,0,0,0,0,31975.80037,13680,4523389,0,na,1245
10/04/17,1176266.667,0,1501084.8,0,0,25465.64866,11000,3711150,0,na,1126
17/04/17,1955281.667,22407.16,0,0,0,27251.5034,10640,3057885,0,na,11966
24/04/17,1029928.333,0,888464,0,0,26141.46141,9800,3309344,0,na,17897
01/05/17,2263143.333,109868.76,0,0,0,22180.03825,7800,2826863,0,na,6052
08/05/17,813771.6667,0,919038.4,0,0,18525.61577,8040,2604828,0,na,9055
15/05/17,880871.6667,0,0,0,0,0,0,2940496,0,na,19401.65385
22/05/17,919185,0,123019.2,0,46342101.03,0,0,3024982,11935.60436,na,19401.65385
29/05/17,826321.6667,0,0,21524.13333,0,18580.09291,6520,2681061,0,na,5778
05/06/17,833798.3333,27376.4,127460.8,0,38495441.92,18758.71243,8040,2609725,9276.159575,na,1988
12/06/17,746271.6667,0,0,0,0,22062.26296,6680,2487079,0,na,4794
19/06/17,1036406.667,108779.04,0,0,3288608.27,26777.60258,9520,3149223,93.81152741,na,5180
26/06/17,927931.6667,0,475896,13978.26667,0,20789.34582,8000,2963072,0,na,1048
03/07/17,1126943.333,13682.28,0,28719.2,75117628.18,37944.46489,11360,3485135,19950.34149,na,10977
10/07/17,1184220,0,0,0,0,35559.57852,11160,3950566,0,na,6813
17/07/17,1315508.333,29591.4,324544,74872.53333,0,33056.5174,11560,3800790,0,na,2361
24/07/17,1279360,0,0,0,0,34686.81144,11600,4264348,0,na,15114
31/07/17,1455811.667,34154.76,616320,4357.333333,0,38038.55553,13600,4429446,0,na,10044
07/08/17,1553355,0,314598.4,28401.73333,0,53676.18901,16080,4916984,0,na,8930
14/08/17,1374855,102141.16,0,0,0,0,0,4198833,0,na,19401.65385
21/08/17,1970110,0,0,34044.53333,19322483.21,0,0,6276021,4028.034307,na,19401.65385
28/08/17,2336431.667,353667.36,0,0,14227048.49,70335.07472,21000,7010039,2696.780957,na,33712
04/09/17,2002065,0,0,0,0,44809.82457,19480,6679241,0,na,20000
11/09/17,2027418.333,146607.8,450494.4,13831.06667,8110862.433,46999.40803,16760,5890204,1865.30046,na,2265
18/09/17,1886570,0,0,0,0,55166.26943,19320,6289814,0,na,15924
25/09/17,2529721.667,250991.52,433691.2,0,31678562.48,72998.56091,22920,7410667,7587.002181,na,24336
02/10/17,2357930,333913.36,175089.6,0,0,69679.83376,22040,7799073,0,na,29510
09/10/17,3003391.667,133913.36,981708.8,55514.8,58082600.28,55293.3578,24040,8147766,16045.71724,na,15458
16/10/17,2283685,0,0,0,44812187.3,72764.83097,22760,7617066,12571.12219,na,43966
23/10/17,2584721.667,133081.52,138273.6,0,64280547.01,69347.53117,23760,7756047,14195.63911,na,35016
30/10/17,2565400,13935.68,0,0,67034964.42,73130.13117,25400,8307903,15820.15604,na,4749
06/11/17,3407085,63447.04,955572.8,69119.73333,39944030.37,78990.71712,29480,9283504,10658.44487,na,25943
13/11/17,2803291.667,0,0,0,95672835.51,0,0,9355428,22800.30554,na,19401.65385
20/11/17,3303155,165682,315915.2,4038.266667,36587638.06,0,0,9662004,9839.892466,na,19401.65385
27/11/17,3103743.333,0,0,28805.33333,35527833.91,110717.9037,45040,9984742,7391.379724,na,41469
04/12/17,2793875,86770.64,263526.4,0,22479813.62,91229.41871,38200,8430013,4969.403594,na,16136
11/12/17,2260396.667,0,0,0,31416253.72,81708.98719,33360,7544173,9091.08372,na,37784
18/12/17,2399176.667,191247.16,275524.8,0,14540176.28,97406.95193,35000,7267249,3035.633075,na,43251
25/12/17,3827520,271247.16,0,45103.33333,69049248.22,90029.68004,30240,6834014,21679.64402,na,57523
01/01/18,3109461.667,0,0,15875.06667,43210526.92,99917.87573,31960,6891431,12843.63277,na,77617
08/01/18,2228128.333,0,11841.6,0,66804744.28,101549.4327,32520,7355344,16418.93087,na,74527
15/01/18,2202593.333,117267.72,0,46442,0,95898.97188,30240,6360391,0,na,10394
22/01/18,1918293.333,0,170433.6,58042.26667,0,67393.76136,27680,5937052,0,na,9740
29/01/18,1862458.333,75507.6,0,0,0,76315.53595,26880,5721235,0,na,13533
05/02/18,1975951.667,0,0,14240.4,8899204.043,96828.85132,31840,6467565,1418.941044,na,56102
12/02/18,1827318.333,27495.64,162556.8,0,0,0,0,5749120,0,na,19401.65385
19/02/18,1656268.333,0,0,18934.26667,0,0,0,5389739,0,na,19401.65385
26/02/18,1703790,37068.32,168513.6,30008.4,0,75508.86226,22240,5114017,0,na,19325
05/03/18,1488115,0,0,0,0,68384.0442,22080,4961257,0,na,18078
12/03/18,1727330,159360.76,271812.8,61460.4,0,54808.73577,21240,4823884,0,na,8711
19/03/18,1208246.667,0,0,0,0,53429.69321,17880,4036244,0,na,12979
26/03/18,1388960,59231.52,245745.6,8967.466667,0,44222.37021,19000,4191403,0,na,23910
02/04/18,2408331.667,0,0,0,0,55400.03981,16560,3583995,0,na,10567
09/04/18,1131721.667,0,33772.8,0,0,55494.36157,17920,3771321,0,na,41329
16/04/18,950015,0,0,0,21011312.28,50425.56526,14920,3167512,6339.781435,na,21616
23/04/18,801298.3333,0,475060.8,0,0,36824.07093,11080,2604407,0,na,2529
30/04/18,779838.3333,0,0,0,145985945.1,28654.62717,9520,2549137,38401.7919,na,6836
07/05/18,889546.6667,0,179022.4,0,0,45582.27694,14160,2937422,0,na,330
14/05/18,862850,0,0,20410.93333,145131039.9,0,0,2752045,39121.34233,na,19401.65385
21/05/18,2601601.667,2841.32,78865.6,0,0,0,0,3080867,0,event1,19401.65385
28/05/18,905008.3333,0,0,12616.26667,14870672.24,37990.53137,13920,2957153,3027.127751,na,28568
04/06/18,910551.6667,0,0,0,0,48237.86606,14160,3035519,0,na,26708
11/06/18,923853.3333,24944.04,0,16274,0,31886.21972,13600,2885659,0,na,7675
18/06/18,982420,0,52388.8,0,0,48085.89361,16240,3263336,0,na,23355
25/06/18,1056811.667,0,0,31152.4,39206418.58,39747.69701,15480,3369140,11270.82822,na,16989
02/07/18,932326.6667,43865.84,504304,0,0,31870.35714,11800,2839892,0,na,14653
09/07/18,1126221.667,0,0,34463.73333,102710071.7,43367.52227,15560,3555964,24239.4064,na,15143
16/07/18,1140006.667,26567.36,178553.6,0,0,45860.12959,15440,3590008,0,na,9013
23/07/18,1479303.333,29186.68,0,15518,0,47370.36869,20760,4606123,0,na,22477
30/07/18,1647193.333,0,0,0,0,77832.99757,23240,5494567,0,na,8906
06/08/18,2009478.333,39124.48,277723.2,21600.4,0,76885.47655,26320,6045317,0,na,59318
13/08/18,1523443.333,0,0,0,54622076.1,0,0,5035305,13352.25116,na,19401.65385
20/08/18,1420118.333,184689.36,319296,0,0,0,0,4208615,0,na,19401.65385
27/08/18,1673551.667,0,0,0,43864423.45,82233.52452,25760,5541654,13525.41956,na,48020
03/09/18,2061091.667,34984.24,204640,2317.333333,0,93587.0856,29200,6397383,0,na,70855
10/09/18,2144110,0,0,1608,0,90903.05147,31520,7137648,0,na,46225
17/09/18,2058653.333,0,138361.6,29055.2,41405945.34,94015.68888,28080,6541298,10208.68332,na,74995
24/09/18,2208345,2663.8,87960,0,0,96795.50383,32680,7283453,0,na,1047
01/10/18,2603008.333,470110.32,78681.6,8095.333333,11394121.82,106126.9947,37040,7884994,2750.534607,na,34469
08/10/18,2313193.333,0,0,7769.466667,20322166.64,109267.1523,34480,7610669,6047.538494,na,22232
15/10/18,2813106.667,133468.56,189321.6,3117.333333,35763073.02,91340.17513,38280,8364119,7327.759899,na,49409
22/10/18,2665110,0,0,0,0,97560.56537,40480,8898789,0,na,49575
29/10/18,2947875,75869.92,0,6384.4,91549168.79,122740.6477,41400,8887808,23795.42848,na,42276
05/11/18,2768941.667,0,436176,4366.533333,0,118564.7178,42160,8982377,0,na,25332
12/11/18,2666240,172052.76,0,0,117062263.8,0,0,7958631,26185.42459,na,19401.65385
19/11/18,2559550,0,141160,0,0,0,0,8467716,0,na,19401.65385
26/11/18,2653766.667,160575.6,0,45388.4,65751650.87,156564.3846,48000,7536793,21010.78532,na,301
03/12/18,2144703.333,0,160676.8,0,0,114123.5145,41960,7097277,0,na,34832
10/12/18,2451681.667,0,0,18848,0,151823.0073,47320,7989344,0,na,68792
17/12/18,2469486.667,0,46091.2,0,0,114071.9284,46640,8215719,0,na,37199
24/12/18,3208150,474139.72,0,22355.86667,96601553.4,150402.9825,51440,8125604,27204.02222,na,80865
31/12/18,2746851.667,154139.72,0,0,0,104634.4757,43480,7314043,0,na,54011
07/01/19,2566165,0,988.8,2710.8,19817822.4,121001.5989,51080,8498273,4427.444333,na,96236
14/01/19,2554828.333,34751.92,0,2205.333333,0,111908.3588,48880,8027598,0,na,80627
21/01/19,1959706.667,0,81825.6,8760.666667,31145830.82,117177.8884,41440,6399576,8584.506608,na,629
28/01/19,2424486.667,95029.2,0,0,0,118231.1025,45600,7415825,0,na,19984
04/02/19,1953060,0,0,12816.13333,0,141999.145,41760,6396016,0,na,55736
11/02/19,2086935,38168.52,0,3575.733333,24004461.65,0,0,6492811,6330.935898,na,19401.65385
18/02/19,1675816.667,0,0,1505.066667,0,0,0,5588194,0,na,19401.65385
25/02/19,1976413.333,54362.88,92649.6,1937.466667,1532956.8,88530.39409,36560,6078682,0,na,46243
04/03/19,1480760,0,0,0,0,74092.1597,29840,4933396,0,na,36979
11/03/19,1425500,16470.96,0,0,0,82059.78347,27120,4597321,0,na,23990
18/03/19,1156860,0,0,0,83179409.76,55251.91752,21480,3818999,18362.22735,na,16046
25/03/19,1252230,10450.16,17296,0,0,70906.04073,23920,4083211,0,na,28980
01/04/19,1209373.333,0,0,0,35494120.25,73888.38653,23640,4017170,9925.966347,na,7453
08/04/19,1183801.667,143669.44,6171.2,0,0,67424.7476,22360,3588301,0,na,37507
15/04/19,918593.3333,0,0,8988.666667,0,65246.24575,19200,3026520,0,na,43718
22/04/19,2303595,14635.2,0,0,19361443.73,51481.45989,18800,3140648,4790.791785,event2,1167
29/04/19,890675,0,0,37397.73333,31687579.01,55800.88355,16880,2828444,7539.372366,na,1546
06/05/19,989913.3333,11087.68,0,0,0,56108.46853,21840,3221944,0,na,34861
13/05/19,915791.6667,0,0,6371.2,65207240.82,0,0,2992910,19365.17519,na,19401.65385
20/05/19,746205,87721.16,17307.2,11368.66667,0,0,0,2251073,0,na,19401.65385
27/05/19,723785,0,11003.2,0,0,40124.09528,15640,2412562,0,na,21000
03/06/19,903125,0,0,4175.733333,0,54839.69036,18600,2989592,0,na,19903
10/06/19,672250,0,0,0,3909308.617,30502.69153,12440,2240235,148.5858155,na,8031
17/06/19,739783.3333,0,0,0,0,36154.65428,14440,2467712,0,na,20173
24/06/19,831833.3333,18481.44,0,0,0,48423.86191,14800,2672133,0,na,26938
01/07/19,939896.6667,0,0,0,0,48153.03819,19160,3132194,0,na,8713
08/07/19,946510,15811.08,0,0,0,45335.22282,18400,3060018,0,na,17384
15/07/19,1063913.333,0,199395.2,0,0,76716.4668,23160,3505139,0,na,4153
22/07/19,1278223.333,36148.52,0,0,29956231.06,77347.91665,25560,4004072,8580.424053,na,25861
29/07/19,1500828.333,0,115297.6,0,0,75327.0771,28560,4982078,0,na,1820
05/08/19,1843118.333,39029.92,0,0,178298272.9,104317.9339,32440,5672763,46201.17422,na,40473
12/08/19,1443773.333,0,101840,0,0,0,0,4783227,0,na,19401.65385
19/08/19,1397435,0,0,9660.8,98316054.59,0,0,4520254,29234.75343,na,19401.65385
26/08/19,1930413.333,0,115566.4,0,0,113575.4021,38960,6397749,0,na,48083
02/09/19,2106968.333,679.24,0,41193.46667,40745397.76,117697.7752,38400,6637702,12113.87595,na,34061
09/09/19,2233758.333,147803.4,12734.4,0,0,137929.6683,41280,6774864,0,na,31325
16/09/19,2575148.333,0,34385.6,43812.93333,18984811.7,155722.9863,48280,8116568,3992.652158,na,70417
23/09/19,2510951.667,83450.84,0,0,0,145612.5413,46280,7702931,0,na,50905
30/09/19,2275620,0,94366.4,58826.8,0,129677.5559,44040,7060116,0,na,79428
07/10/19,2505161.667,57791.84,0,0,141452747.1,127530.2265,46040,7603752,41579.38103,na,58284
14/10/19,2456240,0,96692.8,61489.46667,0,152840.3234,44840,7612762,0,na,28157
21/10/19,2182825,61967.04,0,0,56881962.24,103680.0478,41480,6701667,13362.45755,na,10644
28/10/19,2377706.667,8793,22550.4,6990.4,0,138387.7041,45880,7688920,0,na,9597
04/11/19,2732825,8981.2,0,9620.533333,0,151707.9905,53640,8815710,0,na,90189
11/11/19,2767788.333,0,0,0,127981119.8,0,0,9067759,36619.07594,na,19401.65385
